binary,type,function,link
AddinUtil.exe,Binaries,Execute (.NetObjects),https://lolbas-project.github.io/lolbas/Binaries/AddinUtil/
AppInstaller.exe,Binaries,Download (INetCache),https://lolbas-project.github.io/lolbas/Binaries/AppInstaller/
Aspnet_Compiler.exe,Binaries,AWL bypass,https://lolbas-project.github.io/lolbas/Binaries/Aspnet_Compiler/
At.exe,Binaries,Execute (CMD),https://lolbas-project.github.io/lolbas/Binaries/At/
Atbroker.exe,Binaries,Execute (EXE),https://lolbas-project.github.io/lolbas/Binaries/Atbroker/
Bash.exe,Binaries,Execute (CMD); AWL bypass (CMD),https://lolbas-project.github.io/lolbas/Binaries/Bash/
Bitsadmin.exe,Binaries,Alternate data streams; Download; Copy; Execute,https://lolbas-project.github.io/lolbas/Binaries/Bitsadmin/
CertOC.exe,Binaries,Execute (DLL); Download,https://lolbas-project.github.io/lolbas/Binaries/CertOC/
CertReq.exe,Binaries,Download; Upload,https://lolbas-project.github.io/lolbas/Binaries/CertReq/
Certutil.exe,Binaries,Download (GUI); Alternate data streams; Encode; Decode,https://lolbas-project.github.io/lolbas/Binaries/Certutil/
Change.exe,Binaries,Execute (EXE; Rename),https://lolbas-project.github.io/lolbas/Binaries/Change/
Cipher.exe,Binaries,Tamper,https://lolbas-project.github.io/lolbas/Binaries/Cipher/
Cmd.exe,Binaries,Alternate data streams; Download; Upload,https://lolbas-project.github.io/lolbas/Binaries/Cmd/
Cmdkey.exe,Binaries,Credentials,https://lolbas-project.github.io/lolbas/Binaries/Cmdkey/
cmdl32.exe,Binaries,Download,https://lolbas-project.github.io/lolbas/Binaries/Cmdl32/
Cmstp.exe,Binaries,Execute (INF); AWL bypass (INF; Remote),https://lolbas-project.github.io/lolbas/Binaries/Cmstp/
Colorcpl.exe,Binaries,Copy,https://lolbas-project.github.io/lolbas/Binaries/Colorcpl/
ComputerDefaults.exe,Binaries,UAC bypass,https://lolbas-project.github.io/lolbas/Binaries/ComputerDefaults/
ConfigSecurityPolicy.exe,Binaries,Upload; Download (INetCache),https://lolbas-project.github.io/lolbas/Binaries/ConfigSecurityPolicy/
Conhost.exe,Binaries,Execute (CMD),https://lolbas-project.github.io/lolbas/Binaries/Conhost/
Control.exe,Binaries,Alternate data streams (DLL); Execute (DLL),https://lolbas-project.github.io/lolbas/Binaries/Control/
Csc.exe,Binaries,Compile,https://lolbas-project.github.io/lolbas/Binaries/Csc/
Cscript.exe,Binaries,Alternate data streams (WSH),https://lolbas-project.github.io/lolbas/Binaries/Cscript/
CustomShellHost.exe,Binaries,Execute (EXE),https://lolbas-project.github.io/lolbas/Binaries/CustomShellHost/
DataSvcUtil.exe,Binaries,Upload,https://lolbas-project.github.io/lolbas/Binaries/DataSvcUtil/
Desktopimgdownldr.exe,Binaries,Download,https://lolbas-project.github.io/lolbas/Binaries/Desktopimgdownldr/
DeviceCredentialDeployment.exe,Binaries,Conceal,https://lolbas-project.github.io/lolbas/Binaries/DeviceCredentialDeployment/
Dfsvc.exe,Binaries,AWL bypass (ClickOnce; Remote),https://lolbas-project.github.io/lolbas/Binaries/Dfsvc/
Diantz.exe,Binaries,Alternate data streams (Compression); Download (Compression); Execute (Compression),https://lolbas-project.github.io/lolbas/Binaries/Diantz/
Diskshadow.exe,Binaries,Dump (CMD); Execute (CMD),https://lolbas-project.github.io/lolbas/Binaries/Diskshadow/
Dnscmd.exe,Binaries,Execute (DLL; Remote),https://lolbas-project.github.io/lolbas/Binaries/Dnscmd/
Esentutl.exe,Binaries,Copy; Alternate data streams; Download,https://lolbas-project.github.io/lolbas/Binaries/Esentutl/
